,,,,,,, จำนวนเงินทั้งหมด , ค่าของจากใบเสร็จ ,เหลือ,,,,,,,
,,,,,,," 181,800.00 "," 167,737.02 "," 14,062.98 ",,,,,,,
 เงิน ,รายละเอียด,ลำดับ,ลำดับในบิล,วันที่ในบิล,รายการ,จำนวน, ราคา , ราคารวม ,ชื่อร้าน,หมายเหตุ,,,,,,
,,57,3,12/12/19,ส่วนลด 35%,-1,35%,"-13,475.00 ",เค.ที.ซี.อีเล็คทริค (2012),IV6212-0044,,8352,,,,
,,58,4,12/12/19,ภาษี 7%,7%,," 1,751.75 ",เค.ที.ซี.อีเล็คทริค (2012),IV6212-0044,,4105.5,,,,
,,59,1,12/13/19,3M 1710 เทปพันสายไฟ,6, 15.00 , 90.00 ,เค.ที.ซี.อีเล็คทริค (2012),IV6212-0056,,,,,,
,,60,2,12/13/19,PANA BS-1113YT เบรกเกอร์ 30A,3, 95.00 , 285.00 ,เค.ที.ซี.อีเล็คทริค (2012),IV6212-0056,,,,,,
,,61,3,12/13/19,ภาษี 7%,7%,, 26.25 ,เค.ที.ซี.อีเล็คทริค (2012),IV6212-0056,,,,,,
,,62,1,12/17/19,แหวนมีเนียม,10, 30.00 , 300.00 ,พีพีเจ การไฟฟ้า,,,,,,,
,,63,1,12/19/19,น้ำมัน,,, 131.60 ,ปั้ม,TI5274Q0352A-1912-000655,,,,,,
,,64,1,12/18/19,เกลียวปล่อย #F7x1,1, 250.00 , 250.00 ,ชัยเกษมฮาร์ดแวร์,2699,,,,,,
,,65,1,12/18/19,แด๊ปFOX ,6, 35.00 , 210.00 ,ชัยเกษมฮาร์ดแวร์,2699,,,,,,
,,66,2,12/18/19,ใบคัตเตอร์ใหญ่,1, 25.00 , 25.00 ,ชัยเกษมฮาร์ดแวร์,2699,,,,,,
,,67,1,12/19/19,สาย IEC01 ~THW 16 MM2-YA/,30, 42.00 ," 1,260.00 ",ชัยวัฒน์,CL6205048,,,,,,
,,68,2,12/19/19,เซอร์กิต QO120VSC 6T,24, 90.00 ," 2,160.00 ",ชัยวัฒน์,CL6205048,,,,,,
,,69,3,12/19/19,ดอกสว่านโรตารี่ 6.5x110mm. P,2, 45.00 , 90.00 ,ชัยวัฒน์,CL6205048,,,,,,
,,70,4,12/19/19,SAFE-T-CUT 2P/63A Spec,4," 2,450.00 "," 9,800.00 ",ชัยวัฒน์,CL6205048,,,,,,
,,71,5,12/19/19,พลุ๊ก ผีเสื้อ Nano,100, 2.50 , 250.00 ,ชัยวัฒน์,CL6205048,,,,,,
,,72,6,12/19/19,"สกรูเกลียวปล่อย #8x2""",1, 250.00 , 250.00 ,ชัยวัฒน์,CL6205048,,,,,,
,,73,7,12/19/19,"แผง PVCขาว 10""x12"" Nano 304w",4, 64.00 , 256.00 ,ชัยวัฒน์,CL6205048,,,,,,
,,,8,12/19/19,ภาษี 7%,7%,, 984.62 ,ชัยวัฒน์,CL6205048,,,,,,
